match_status,field,name_ko,name_en,naver_value,vivino_value,id
VIVINO_ONLY,"포도품종 (grape_variety vs vivino_grapes)","해롓즈 프로방스 로제","Harrods Provence Rosé","","Shiraz/Syrah, Grenache, Cinsault",7a8f7ace-592b-466a-9ddb-ed5c0307c7f2
MISMATCH,"지역 (region vs vivino_region)","해롓즈 프로방스 로제","Harrods Provence Rosé","프로방스","France / Provence",7a8f7ace-592b-466a-9ddb-ed5c0307c7f2
MISMATCH,"생산자 (producer vs vivino_winery)","해롓즈 프로방스 로제","Harrods Provence Rosé","Harrods","Harrods",7a8f7ace-592b-466a-9ddb-ed5c0307c7f2
NAVER_ONLY,"스타일 (wine_type vs vivino_style)","해롓즈 프로방스 로제","Harrods Provence Rosé","rose","",7a8f7ace-592b-466a-9ddb-ed5c0307c7f2
MISMATCH,"포도품종 (grape_variety vs vivino_grapes)","몬테스 알파 카베르네 소비뇽","Montes Alpha Cabernet Sauvignon","카베르네 소비뇽","Cabernet Sauvignon",7a910cff-6c2e-41e2-af90-3124d58b1327
VIVINO_ONLY,"지역 (region vs vivino_region)","몬테스 알파 카베르네 소비뇽","Montes Alpha Cabernet Sauvignon","","Chile / Central Valley / Rapel Valley / Colchagua Valley",7a910cff-6c2e-41e2-af90-3124d58b1327
MISMATCH,"생산자 (producer vs vivino_winery)","몬테스 알파 카베르네 소비뇽","Montes Alpha Cabernet Sauvignon","몬테스","Montes",7a910cff-6c2e-41e2-af90-3124d58b1327
NAVER_ONLY,"스타일 (wine_type vs vivino_style)","몬테스 알파 카베르네 소비뇽","Montes Alpha Cabernet Sauvignon","red","",7a910cff-6c2e-41e2-af90-3124d58b1327
MISMATCH,"포도품종 (grape_variety vs vivino_grapes)","마운틴 뷰티풀 소비뇽 블랑","Mountain Beautiful Sauvignon Blanc","소비뇽 블랑","Sauvignon Blanc",005b6eba-735a-40a1-bd02-56753614eb65
VIVINO_ONLY,"지역 (region vs vivino_region)","마운틴 뷰티풀 소비뇽 블랑","Mountain Beautiful Sauvignon Blanc","","New Zealand / South Island / Canterbury",005b6eba-735a-40a1-bd02-56753614eb65
MISMATCH,"생산자 (producer vs vivino_winery)","마운틴 뷰티풀 소비뇽 블랑","Mountain Beautiful Sauvignon Blanc","마운틴 뷰티풀","Mt. Beautiful",005b6eba-735a-40a1-bd02-56753614eb65
MISMATCH,"스타일 (wine_type vs vivino_style)","마운틴 뷰티풀 소비뇽 블랑","Mountain Beautiful Sauvignon Blanc","white","New Zealand Sauvignon Blanc",005b6eba-735a-40a1-bd02-56753614eb65
VIVINO_ONLY,"포도품종 (grape_variety vs vivino_grapes)","폴 로제 큐베 사 윈스턴 처칠 브뤼","Pol Roger Cuvée Sir Winston Churchill Brut","","Chardonnay, Pinot Noir",85be1185-5492-4685-9c2c-30936491579f
MISMATCH,"지역 (region vs vivino_region)","폴 로제 큐베 사 윈스턴 처칠 브뤼","Pol Roger Cuvée Sir Winston Churchill Brut","샹파뉴","France / Champagne",85be1185-5492-4685-9c2c-30936491579f
MISMATCH,"생산자 (producer vs vivino_winery)","폴 로제 큐베 사 윈스턴 처칠 브뤼","Pol Roger Cuvée Sir Winston Churchill Brut","Pol Roger","Pol Roger",85be1185-5492-4685-9c2c-30936491579f
MISMATCH,"스타일 (wine_type vs vivino_style)","폴 로제 큐베 사 윈스턴 처칠 브뤼","Pol Roger Cuvée Sir Winston Churchill Brut","sparkling","French Champagne",85be1185-5492-4685-9c2c-30936491579f
MISMATCH,"포도품종 (grape_variety vs vivino_grapes)","월터 핸젤 노스 슬로프 피노 누아","Walter Hanzel North Slope Pinot Noir","피노 누아","Pinot Noir",8636f93d-9597-41ec-a3b0-4902b30eb08e
MISMATCH,"지역 (region vs vivino_region)","월터 핸젤 노스 슬로프 피노 누아","Walter Hanzel North Slope Pinot Noir","소노마 카운티","United States / California / North Coast / Sonoma County / Russian River Valley",8636f93d-9597-41ec-a3b0-4902b30eb08e
MISMATCH,"생산자 (producer vs vivino_winery)","월터 핸젤 노스 슬로프 피노 누아","Walter Hanzel North Slope Pinot Noir","Walter Hanzel","Walter Hansel",8636f93d-9597-41ec-a3b0-4902b30eb08e
MISMATCH,"스타일 (wine_type vs vivino_style)","월터 핸젤 노스 슬로프 피노 누아","Walter Hanzel North Slope Pinot Noir","red","Californian Russian River Valley Pinot Noir Red",8636f93d-9597-41ec-a3b0-4902b30eb08e
MISMATCH,"포도품종 (grape_variety vs vivino_grapes)","카모미 나파 밸리 샤르도네","Chamomé Napa Valley Chardonnay","샤르도네","Chardonnay",865dbcf3-4a28-477c-aee6-3c594658157d
MISMATCH,"지역 (region vs vivino_region)","카모미 나파 밸리 샤르도네","Chamomé Napa Valley Chardonnay","나파 밸리","United States / California / North Coast / Napa County / Napa Valley",865dbcf3-4a28-477c-aee6-3c594658157d
MISMATCH,"생산자 (producer vs vivino_winery)","카모미 나파 밸리 샤르도네","Chamomé Napa Valley Chardonnay","카모미","Duckhorn",865dbcf3-4a28-477c-aee6-3c594658157d
MISMATCH,"스타일 (wine_type vs vivino_style)","카모미 나파 밸리 샤르도네","Chamomé Napa Valley Chardonnay","white","Napa Valley Chardonnay",865dbcf3-4a28-477c-aee6-3c594658157d
VIVINO_ONLY,"포도품종 (grape_variety vs vivino_grapes)","카사 콜레 프로세코 엑스트라 드라이","Casa Colle Prosecco Extra Dry","","Glera",87362085-8262-44af-8946-8627f7b22f4c
VIVINO_ONLY,"지역 (region vs vivino_region)","카사 콜레 프로세코 엑스트라 드라이","Casa Colle Prosecco Extra Dry","","Italy / Northern Italy / Veneto / Prosecco / Conegliano-Valdobbiadene Prosecco / Conegliano-Valdobbiadene Prosecco Superiore",87362085-8262-44af-8946-8627f7b22f4c
MISMATCH,"생산자 (producer vs vivino_winery)","카사 콜레 프로세코 엑스트라 드라이","Casa Colle Prosecco Extra Dry","카사 콜레","Cantine Vedova",87362085-8262-44af-8946-8627f7b22f4c
MISMATCH,"스타일 (wine_type vs vivino_style)","카사 콜레 프로세코 엑스트라 드라이","Casa Colle Prosecco Extra Dry","sparkling","Italian Prosecco",87362085-8262-44af-8946-8627f7b22f4c
MISMATCH,"포도품종 (grape_variety vs vivino_grapes)","엘 에네미고 말벡","El Enemigo Malbec","말벡","Cabernet Franc, Petit Verdot, Malbec",88b89231-1503-42d8-a468-c3edfeb159a3
VIVINO_ONLY,"지역 (region vs vivino_region)","엘 에네미고 말벡","El Enemigo Malbec","","Argentina / Mendoza",88b89231-1503-42d8-a468-c3edfeb159a3
MISMATCH,"생산자 (producer vs vivino_winery)","엘 에네미고 말벡","El Enemigo Malbec","El Enemigo","El Enemigo",88b89231-1503-42d8-a468-c3edfeb159a3
MISMATCH,"스타일 (wine_type vs vivino_style)","엘 에네미고 말벡","El Enemigo Malbec","red","Argentinian Mendoza Malbec Red",88b89231-1503-42d8-a468-c3edfeb159a3
MISMATCH,"포도품종 (grape_variety vs vivino_grapes)","마이 펫 템프라니요","My Pet Tempranillo","템프라니요","Tempranillo",00980dd3-ba12-48c0-8681-b097ac8d978d
VIVINO_ONLY,"지역 (region vs vivino_region)","마이 펫 템프라니요","My Pet Tempranillo","","Spain / Vino de España",00980dd3-ba12-48c0-8681-b097ac8d978d
VIVINO_ONLY,"생산자 (producer vs vivino_winery)","마이 펫 템프라니요","My Pet Tempranillo","","Alceño",00980dd3-ba12-48c0-8681-b097ac8d978d
MISMATCH,"스타일 (wine_type vs vivino_style)","마이 펫 템프라니요","My Pet Tempranillo","red","Spanish Tempranillo",00980dd3-ba12-48c0-8681-b097ac8d978d
MISMATCH,"포도품종 (grape_variety vs vivino_grapes)","핀까엘 오리엔 그란 리제르바 까베르네 소비뇽","Finca El Origen Gran Reserva Cabernet Sauvignon","까베르네 소비뇽","Cabernet Sauvignon",8e0e17b1-058d-4bee-9652-1f3b651331cb
VIVINO_ONLY,"지역 (region vs vivino_region)","핀까엘 오리엔 그란 리제르바 까베르네 소비뇽","Finca El Origen Gran Reserva Cabernet Sauvignon","","Argentina / Mendoza",8e0e17b1-058d-4bee-9652-1f3b651331cb
MISMATCH,"생산자 (producer vs vivino_winery)","핀까엘 오리엔 그란 리제르바 까베르네 소비뇽","Finca El Origen Gran Reserva Cabernet Sauvignon","Finca El Origen","Finca el Origen",8e0e17b1-058d-4bee-9652-1f3b651331cb
MISMATCH,"스타일 (wine_type vs vivino_style)","핀까엘 오리엔 그란 리제르바 까베르네 소비뇽","Finca El Origen Gran Reserva Cabernet Sauvignon","red","Argentinian Cabernet Sauvignon",8e0e17b1-058d-4bee-9652-1f3b651331cb
MISMATCH,"포도품종 (grape_variety vs vivino_grapes)","도멘 장닝 날테 머큐레 1에르 크뤼 레 노그 2023","Domaine Jeanin Naltet Mercurey 1er Cru Les Naugues 2023","피노 누아","Pinot Noir",4c39c75a-787e-4978-b523-9984c483f7ae
MISMATCH,"지역 (region vs vivino_region)","도멘 장닝 날테 머큐레 1에르 크뤼 레 노그 2023","Domaine Jeanin Naltet Mercurey 1er Cru Les Naugues 2023","부르고뉴","France / Bourgogne / Côte Chalonnaise / Mercurey / Mercurey Premier Cru / Mercurey 1er Cru 'Les Naugues'",4c39c75a-787e-4978-b523-9984c483f7ae
MISMATCH,"생산자 (producer vs vivino_winery)","도멘 장닝 날테 머큐레 1에르 크뤼 레 노그 2023","Domaine Jeanin Naltet Mercurey 1er Cru Les Naugues 2023","Domaine Jeanin Naltet","Domaine Jeannin Naltet",4c39c75a-787e-4978-b523-9984c483f7ae
NAVER_ONLY,"스타일 (wine_type vs vivino_style)","도멘 장닝 날테 머큐레 1에르 크뤼 레 노그 2023","Domaine Jeanin Naltet Mercurey 1er Cru Les Naugues 2023","red","",4c39c75a-787e-4978-b523-9984c483f7ae
MISMATCH,"포도품종 (grape_variety vs vivino_grapes)","크리스찬 클레르제 부르고뉴 피노 누아","Christian Clerget Bourgogne Pinot Noir","피노 누아","Pinot Noir",01336fd5-fcbe-4f7b-b942-b59ab3394492
